NU_INSCRICAO;NU_ANO;NO_MUNICIPIO_RESIDENCIA;CO_UF_RESIDENCIA;SG_UF_RESIDENCIA;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;TP_SIT_FUNC_ESC;NU_IDADE;TP_SEXO;CO_MUNICIPIO_NASCIMENTO;TP_ESCOLA;TP_ENSINO;TP_ESTADO_CIVIL;TP_COR_RACA;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;TP_STATUS_REDACAO;NU_NOTA_REDACAO;Q001;Q002;Q005;Q006
1,50E+11;2015;Salvador;29;BA;;;;29;M;2927408;1;;0;3;4317;5169;5222;417;1;660;H;E;1;C
1,50E+11;2015;São Gonçalo;33;RJ;;;;23;M;3304557;1;;0;3;6529;6729;6694;6942;1;640;D;E;3;E
1,50E+11;2015;Belo Horizonte;31;MG;;;;35;M;3106200;1;;0;1;6342;6991;6107;6812;1;640;F;E;5;Q
1,50E+11;2015;Ribeirão Preto;35;SP;;;;19;F;3543402;1;;0;1;6382;6738;6188;6513;1;640;E;E;4;D
1,50E+11;2015;Bento Gonçalves;43;RS;;;;16;F;4306601;1;;0;1;4441;5938;589;6431;1;640;H;E;4;B
1,50E+11;2015;Recife;26;PE;;;;22;M;2611606;1;;0;3;5498;6295;5934;6097;1;640;E;E;3;F
1,50E+11;2015;Maceió;27;AL;;;;26;F;2704302;1;;0;1;5299;560;4747;6075;1;640;F;F;3;C
1,50E+11;2015;Canoas;43;RS;;;;21;M;4304606;1;;0;1;6329;7013;6084;5989;1;640;B;C;3;E
1,50E+11;2015;Gravataí;43;RS;;;;18;M;4301602;1;;0;1;5706;6124;459;5948;1;640;G;F;5;L
1,50E+11;2015;Camaragibe;26;PE;;;;19;F;2611606;1;;0;1;4453;6203;5623;5933;1;640;E;G;5;C
1,50E+11;2015;Olinda;26;PE;;;;22;M;2609600;1;;1;2;5285;5311;5113;5665;1;640;E;C;3;B
1,50E+11;2015;Goiânia;52;GO;;;;25;F;5208707;1;;0;3;5485;6059;5835;5633;1;640;E;E;3;D
